smiles,isactive
COC1C(OC(C)=O)CC(=O)OC(C)CC=CC=CC(O)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(OC(=O)CC(C)C)C(C)O2)C(N(C)C)C1O,0
CC1CCC2(NC1)OC1CC3C4CCC5CC(O)CCC5(C)C4CCC3(C)C1C2C,1
CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12,1
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,0
CN(C)CCN(Cc1ccccc1)c1ccccn1.O=C(O)CC(O)(CC(=O)O)C(=O)O,0
Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,1
C=CC(C)(O)CCC=C(C)C,0
CC(C)NCC(O)COc1cccc2ccccc12,0
COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1,0
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,0
CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,0
Oc1cc(O)cc(Oc2c(O)cc(O)c3c2Oc2c(O)cc(Oc4c(O)cc(O)cc4O)cc2O3)c1,1
O=c1cnn(C2OC(CO)C(O)C2O)c(=O)[nH]1,1
NC(=O)c1ncn(C2OC(CO)C(O)C2O)n1,1
O=C(Nc1ccc(C(F)(F)F)cn1)N1CCN(c2ncccc2C(F)(F)F)CC1,0
CN(C)CCCSC(=N)N,0
Cc1cc(C2CCCCC2)n(O)c(=O)c1.NCCO,1
O=C(O)CCCCC1SCC2NC(=O)NC21,1
CC12CCC3C(CCC4=C(O)C(=O)CCC43C)C1CCC2=O,0
O=C(O)CNC(=O)C(CS)Cc1ccccc1,0
NCC(=O)N1CCCC1C(=O)NC(CCC(=O)O)C(=O)O,0
C=C1C(=O)C23C(O)C1CCC2C12COC3(O)C(O)C1C(C)(C)CCC2O,1
CN(CC=CC#CC(C)(C)C)Cc1cccc2ccccc12,1
CC1CN(C(=O)c2cc3c(C(=O)C(=O)N(C)C)cn(C)c3cc2Cl)C(C)CN1Cc1ccc(F)cc1,0
CCCCCCCCN=c1ccn(CCCCCCCCCCn2ccc(=NCCCCCCCC)cc2)cc1.Cl.Cl,1
CC(=O)O.Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O,1
CC1CCC(=O)C2CCC(C(C)(C)O)CC12C,1
CCC(=O)OC1(C(=O)CO)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,0
CN(CC=Cc1ccccc1)Cc1cccc2ccccc12.Cl,1
CCC(C)C1NC(=O)C2C(CCN2C(=O)C(NC(=O)C(C)NC)C(C)CC)OCc2ccc(OC)c(c2)C=CNC1=O,1
CC(C)C(=O)c1cn(CC(=O)COc2ccc(Oc3ccccc3)cc2)c2ccc(C(=O)O)cc12,0
C=Cc1c(C)c2cc3[nH]c(cc4nc(cc5nc(cc1[nH]2)C(C)=C5CCC(=O)O)C(CCC(=O)O)=C4C)c(C)c3C=C,1
